iter	RMSE
0	236.4473749
1	221.5192354
2	208.5840244
3	197.4732725
4	187.929539
5	179.8393655
6	173.0008108
7	167.2213052
8	162.3821893
9	158.3464444
10	154.9817251
11	152.2162066
12	149.9086081
13	147.9786369
14	146.443463
15	145.0834982
16	143.9714621
17	143.0146218
18	142.2520079
19	141.5912306
20	141.0127114
21	140.6095999
22	140.2198705
23	139.899898
24	139.6546337
25	139.4456481
26	139.232213
27	139.055514
28	138.8065673
29	138.6480871
30	138.5549178
31	138.4374199
32	138.3528036
33	138.2842982
34	138.1687515
35	138.101481
36	137.9842599
37	137.9209254
38	137.8808807
39	137.8385803
40	137.7858849
41	137.7350605
42	137.6940516
43	137.6589892
44	137.6051609
45	137.5597252
46	137.5301129
47	137.4989903
48	137.4670757
49	137.4456427
50	137.4012797
51	137.3819325
52	137.3463272
53	137.2519157
54	137.2108085
55	137.1794278
56	137.1513001
57	137.0991414
58	137.0711329
59	137.026957
60	136.9902126
61	136.9438919
62	136.9218752
63	136.8622352
64	136.7797045
65	136.7626114
66	136.6980603
67	136.6856413
68	136.6749594
69	136.661378
70	136.6472123
71	136.6130322
72	136.5888414
73	136.5371849
74	136.4790677
75	136.4545039
76	136.4202999
77	136.3902046
78	136.3444041
79	136.2980693
80	136.2888733
81	136.1935554
82	136.177734
83	136.156567
84	136.1296212
85	136.0881891
86	136.0671014
87	136.0472933
88	136.0257002
89	135.9931319
90	135.9722251
91	135.9253356
92	135.8820829
93	135.8448654
94	135.7669203
95	135.7346951
96	135.7078615
97	135.6294408
98	135.5828295
99	135.5433227
100	135.4933762
101	135.4683302
102	135.3850738
103	135.3380468
104	135.3033807
105	135.254233
106	135.2227564
107	135.1974431
108	135.156697
109	135.088032
110	135.0648678
111	135.0345797
112	134.9853285
113	134.9525583
114	134.9017451
115	134.8617878
116	134.8446013
117	134.8021742
118	134.743555
119	134.701585
120	134.6752888
121	134.6375935
122	134.5675803
123	134.5327506
124	134.451312
125	134.4117181
126	134.3553351
127	134.332608
128	134.2684147
129	134.2302717
130	134.1620764
131	134.1363767
132	134.0989164
133	134.0784382
134	134.0617731
135	134.0366413
136	134.0147889
137	133.9674135
138	133.9274059
139	133.8765406
140	133.8276636
141	133.7756243
142	133.7181008
143	133.7016898
144	133.617698
145	133.5680897
146	133.5175752
147	133.5032298
148	133.4690105
149	133.3979723
150	133.3828817
151	133.3245846
152	133.290738
153	133.2611873
154	133.2379685
155	133.2373794
156	133.2157957
157	133.2030257
158	133.1559997
159	133.1417714
160	133.117013
161	133.0927267
162	133.0340093
163	132.9992904
164	132.9679994
165	132.9403784
166	132.8891152
167	132.8463847
168	132.8077854
169	132.7948503
170	132.7701903
171	132.7276688
172	132.7052198
173	132.6581063
174	132.6249274
175	132.6142641
176	132.5893254
177	132.5752566
178	132.5456419
179	132.5333518
180	132.4714461
181	132.4476247
182	132.4227326
183	132.3873543
184	132.3504338
185	132.3173723
186	132.2946547
187	132.2798978
188	132.2066981
