iter	Passed	Remaining
0	2	2315
1	3	1944
2	5	1783
3	6	1682
4	8	1616
5	9	1552
6	10	1499
7	11	1457
8	12	1422
9	14	1389
10	15	1379
11	16	1350
12	17	1350
13	19	1343
14	20	1332
15	21	1321
16	22	1311
17	23	1294
18	24	1276
19	25	1258
20	26	1241
21	27	1225
22	28	1211
23	29	1197
24	30	1189
25	31	1178
26	32	1165
27	33	1153
28	34	1149
29	35	1137
30	36	1128
31	36	1114
32	38	1116
33	38	1105
34	39	1094
35	40	1082
36	41	1080
37	42	1069
38	42	1059
39	43	1048
40	44	1051
41	45	1041
42	46	1035
43	47	1029
44	48	1023
45	49	1018
46	49	1013
47	50	1010
48	52	1021
49	54	1027
50	55	1030
51	56	1028
52	57	1024
53	58	1019
54	59	1015
55	59	1008
56	61	1010
57	61	1004
58	62	998
59	63	993
60	64	989
61	65	985
62	65	981
63	66	977
64	68	981
65	69	990
66	70	984
67	72	987
68	72	982
69	73	977
70	74	974
71	75	969
72	75	964
73	77	969
74	78	965
75	79	960
76	79	956
77	80	953
78	81	951
79	82	949
80	83	947
81	84	945
82	85	945
83	86	942
84	87	939
85	88	936
86	89	934
87	89	931
88	90	928
89	91	926
90	92	923
91	93	922
92	94	920
93	95	917
94	96	915
95	97	913
96	97	911
97	98	908
98	99	905
99	100	906
100	101	903
101	102	899
102	103	900
103	104	899
104	105	895
105	105	892
106	106	889
107	107	888
108	108	885
109	109	886
110	110	883
111	111	881
112	112	879
113	112	876
114	113	875
115	114	872
116	115	869
117	116	873
118	117	871
119	118	868
120	119	865
121	119	862
122	120	860
123	122	864
124	123	862
125	123	859
126	124	857
127	125	857
128	126	854
129	127	854
130	128	853
131	129	852
132	130	852
133	131	850
134	132	849
135	133	847
136	134	846
137	135	847
138	136	846
139	137	846
140	138	844
141	139	842
142	140	841
143	141	839
144	142	840
145	143	839
146	144	837
147	145	837
148	146	837
149	147	836
150	148	835
151	149	833
152	150	834
153	151	832
154	152	830
155	153	828
156	154	827
157	154	825
158	155	824
159	156	823
160	157	822
161	158	822
162	159	821
163	160	819
164	162	819
165	162	817
166	163	815
167	164	817
168	165	815
169	166	814
170	167	811
171	168	812
172	169	811
173	170	811
174	171	810
175	172	808
176	173	807
177	174	806
178	175	805
179	176	804
180	177	803
181	178	801
182	179	800
183	180	799
184	181	798
185	182	797
186	183	795
187	184	795
188	184	793
